"values","lat","lon","lat_index","lon_index"
297.327301025391,21.8404312133789,-159.83122253418,1,1
297.33349609375,21.8404312133789,-159.824020385742,1,2
297.337280273438,21.8404312133789,-159.816833496094,1,3
297.342498779297,21.8404312133789,-159.809631347656,1,4
297.350830078125,21.8404312133789,-159.802444458008,1,5
297.356964111328,21.8404312133789,-159.79524230957,1,6
297.363250732422,21.8404312133789,-159.788040161133,1,7
297.368774414062,21.8404312133789,-159.780853271484,1,8
297.377380371094,21.8404312133789,-159.773651123047,1,9
297.38037109375,21.8404312133789,-159.766464233398,1,10
297.382690429688,21.8404312133789,-159.759262084961,1,11
297.379821777344,21.8404312133789,-159.752059936523,1,12
297.371856689453,21.8404312133789,-159.744873046875,1,13
297.361968994141,21.8404312133789,-159.737670898438,1,14
297.349456787109,21.8404312133789,-159.730484008789,1,15
297.339447021484,21.8404312133789,-159.723281860352,1,16
297.329498291016,21.8404312133789,-159.716094970703,1,17
297.32177734375,21.8404312133789,-159.708892822266,1,18
297.316986083984,21.8404312133789,-159.701690673828,1,19
297.313842773438,21.8404312133789,-159.69450378418,1,20
297.312072753906,21.8404312133789,-159.687301635742,1,21
297.309783935547,21.8404312133789,-159.680114746094,1,22
297.307220458984,21.8404312133789,-159.672912597656,1,23
297.302459716797,21.8404312133789,-159.665725708008,1,24
297.296112060547,21.8404312133789,-159.65852355957,1,25
297.290435791016,21.8404312133789,-159.651321411133,1,26
297.283142089844,21.8404312133789,-159.644134521484,1,27
297.277496337891,21.8404312133789,-159.636932373047,1,28
297.276153564453,21.8404312133789,-159.629745483398,1,29
297.272064208984,21.8404312133789,-159.622543334961,1,30
297.271240234375,21.8404312133789,-159.615356445312,1,31
297.270263671875,21.8404312133789,-159.608154296875,1,32
297.275421142578,21.8404312133789,-159.600952148438,1,33
297.280670166016,21.8404312133789,-159.593765258789,1,34
297.284423828125,21.8404312133789,-159.586563110352,1,35
297.28759765625,21.8404312133789,-159.579376220703,1,36
297.28857421875,21.8404312133789,-159.572174072266,1,37
297.278594970703,21.8404312133789,-159.564971923828,1,38
297.266510009766,21.8404312133789,-159.55778503418,1,39
297.246185302734,21.8404312133789,-159.550582885742,1,40
297.226226806641,21.8404312133789,-159.543395996094,1,41
297.20556640625,21.8404312133789,-159.536193847656,1,42
297.194946289062,21.8404312133789,-159.529006958008,1,43
297.179260253906,21.8404312133789,-159.52180480957,1,44
297.167938232422,21.8404312133789,-159.514602661133,1,45
297.154876708984,21.8404312133789,-159.507415771484,1,46
297.137420654297,21.8404312133789,-159.500213623047,1,47
297.116485595703,21.8404312133789,-159.493026733398,1,48
297.087554931641,21.8404312133789,-159.485824584961,1,49
297.059478759766,21.8404312133789,-159.478637695312,1,50
297.035766601562,21.8404312133789,-159.471435546875,1,51
297.023651123047,21.8404312133789,-159.464233398438,1,52
297.029418945312,21.8404312133789,-159.457046508789,1,53
297.021911621094,21.8404312133789,-159.449844360352,1,54
297.018127441406,21.8404312133789,-159.442657470703,1,55
297.001983642578,21.8404312133789,-159.435455322266,1,56
296.985565185547,21.8404312133789,-159.428253173828,1,57
296.978515625,21.8404312133789,-159.42106628418,1,58
296.97216796875,21.8404312133789,-159.413864135742,1,59
296.954956054688,21.8404312133789,-159.406677246094,1,60
296.938507080078,21.8404312133789,-159.399475097656,1,61
296.924377441406,21.8404312133789,-159.392288208008,1,62
296.916778564453,21.8404312133789,-159.38508605957,1,63
296.90869140625,21.8404312133789,-159.377883911133,1,64
296.900848388672,21.8404312133789,-159.370697021484,1,65
296.891174316406,21.8404312133789,-159.363494873047,1,66
296.881408691406,21.8404312133789,-159.356307983398,1,67
296.873992919922,21.8404312133789,-159.349105834961,1,68
296.863525390625,21.8404312133789,-159.341918945312,1,69
296.855926513672,21.8404312133789,-159.334716796875,1,70
296.848541259766,21.8404312133789,-159.327514648438,1,71
296.829925537109,21.8404312133789,-159.320327758789,1,72
296.820220947266,21.8404312133789,-159.313125610352,1,73
296.809020996094,21.8404312133789,-159.305938720703,1,74
296.797637939453,21.8404312133789,-159.298736572266,1,75
296.791809082031,21.8404312133789,-159.291549682617,1,76
296.788421630859,21.8404312133789,-159.28434753418,1,77
296.783630371094,21.8404312133789,-159.277145385742,1,78
296.784942626953,21.8404312133789,-159.269958496094,1,79
296.780487060547,21.8404312133789,-159.262756347656,1,80
296.781005859375,21.8404312133789,-159.255569458008,1,81
296.783905029297,21.8404312133789,-159.24836730957,1,82
297.343872070312,21.8471145629883,-159.83122253418,2,1
297.347259521484,21.8471145629883,-159.824020385742,2,2
297.353851318359,21.8471145629883,-159.816833496094,2,3
297.360961914062,21.8471145629883,-159.809631347656,2,4
297.363311767578,21.8471145629883,-159.802444458008,2,5
297.371978759766,21.8471145629883,-159.79524230957,2,6
297.377746582031,21.8471145629883,-159.788040161133,2,7
297.380462646484,21.8471145629883,-159.780853271484,2,8
297.383026123047,21.8471145629883,-159.773651123047,2,9
297.384979248047,21.8471145629883,-159.766464233398,2,10
297.383361816406,21.8471145629883,-159.759262084961,2,11
297.376831054688,21.8471145629883,-159.752059936523,2,12
297.365356445312,21.8471145629883,-159.744873046875,2,13
297.351501464844,21.8471145629883,-159.737670898438,2,14
297.337249755859,21.8471145629883,-159.730484008789,2,15
297.324981689453,21.8471145629883,-159.723281860352,2,16
297.315490722656,21.8471145629883,-159.716094970703,2,17
297.309295654297,21.8471145629883,-159.708892822266,2,18
297.30517578125,21.8471145629883,-159.701690673828,2,19
297.305114746094,21.8471145629883,-159.69450378418,2,20
297.30615234375,21.8471145629883,-159.687301635742,2,21
