"values","lat","lon","lat_index","lon_index"
297.889526367188,20.4647445678711,-157.33430480957,1,1
297.906188964844,20.4647445678711,-157.327102661133,1,2
297.925048828125,20.4647445678711,-157.319915771484,1,3
297.926666259766,20.4647445678711,-157.312713623047,1,4
297.919738769531,20.4647445678711,-157.305526733398,1,5
297.906768798828,20.4647445678711,-157.298324584961,1,6
297.899200439453,20.4647445678711,-157.291122436523,1,7
297.882446289062,20.4647445678711,-157.283935546875,1,8
297.866333007812,20.4647445678711,-157.276733398438,1,9
297.849975585938,20.4647445678711,-157.269546508789,1,10
297.855529785156,20.4647445678711,-157.262344360352,1,11
297.879577636719,20.4647445678711,-157.255157470703,1,12
297.908081054688,20.4647445678711,-157.247955322266,1,13
297.929840087891,20.4647445678711,-157.240753173828,1,14
297.948333740234,20.4647445678711,-157.23356628418,1,15
297.962890625,20.4647445678711,-157.226364135742,1,16
297.975189208984,20.4647445678711,-157.219177246094,1,17
297.983551025391,20.4647445678711,-157.211975097656,1,18
297.994293212891,20.4647445678711,-157.204772949219,1,19
298.001983642578,20.4647445678711,-157.19758605957,1,20
298.004913330078,20.4647445678711,-157.190383911133,1,21
298.009460449219,20.4647445678711,-157.183197021484,1,22
298.013885498047,20.4647445678711,-157.175994873047,1,23
298.016906738281,20.4647445678711,-157.168807983398,1,24
298.017700195312,20.4647445678711,-157.161605834961,1,25
298.021270751953,20.4647445678711,-157.154403686523,1,26
298.019989013672,20.4647445678711,-157.147216796875,1,27
298.015228271484,20.4647445678711,-157.140014648438,1,28
298.015838623047,20.4647445678711,-157.132827758789,1,29
298.014526367188,20.4647445678711,-157.125625610352,1,30
298.011077880859,20.4647445678711,-157.118438720703,1,31
298.006683349609,20.4647445678711,-157.111236572266,1,32
298.004211425781,20.4647445678711,-157.104034423828,1,33
298.003143310547,20.4647445678711,-157.09684753418,1,34
298.006683349609,20.4647445678711,-157.089645385742,1,35
298.008270263672,20.4647445678711,-157.082458496094,1,36
298.018829345703,20.4647445678711,-157.075256347656,1,37
298.022491455078,20.4647445678711,-157.068069458008,1,38
298.032348632812,20.4647445678711,-157.06086730957,1,39
298.032318115234,20.4647445678711,-157.053665161133,1,40
298.0263671875,20.4647445678711,-157.046478271484,1,41
298.022338867188,20.4647445678711,-157.039276123047,1,42
298.004425048828,20.4647445678711,-157.032089233398,1,43
297.990051269531,20.4647445678711,-157.024887084961,1,44
297.974212646484,20.4647445678711,-157.017684936523,1,45
297.958038330078,20.4647445678711,-157.010498046875,1,46
297.943023681641,20.4647445678711,-157.003295898438,1,47
297.930938720703,20.4647445678711,-156.996109008789,1,48
297.920715332031,20.4647445678711,-156.988906860352,1,49
297.909301757812,20.4647445678711,-156.981719970703,1,50
297.893341064453,20.4647445678711,-156.974517822266,1,51
297.877349853516,20.4647445678711,-156.967315673828,1,52
297.863861083984,20.4647445678711,-156.96012878418,1,53
297.848480224609,20.4647445678711,-156.952926635742,1,54
297.82763671875,20.4647445678711,-156.945739746094,1,55
297.802825927734,20.4647445678711,-156.938537597656,1,56
297.773895263672,20.4647445678711,-156.931350708008,1,57
297.741546630859,20.4647445678711,-156.92414855957,1,58
297.708404541016,20.4647445678711,-156.916946411133,1,59
297.679473876953,20.4647445678711,-156.909759521484,1,60
297.65283203125,20.4647445678711,-156.902557373047,1,61
297.632385253906,20.4647445678711,-156.895370483398,1,62
297.621856689453,20.4647445678711,-156.888168334961,1,63
297.621246337891,20.4647445678711,-156.880981445312,1,64
297.617462158203,20.4647445678711,-156.873779296875,1,65
297.612091064453,20.4647445678711,-156.866577148438,1,66
297.599853515625,20.4647445678711,-156.859390258789,1,67
297.58544921875,20.4647445678711,-156.852188110352,1,68
297.567230224609,20.4647445678711,-156.845001220703,1,69
297.548614501953,20.4647445678711,-156.837799072266,1,70
297.533538818359,20.4647445678711,-156.830596923828,1,71
297.527862548828,20.4647445678711,-156.82341003418,1,72
297.520416259766,20.4647445678711,-156.816207885742,1,73
297.511962890625,20.4647445678711,-156.809020996094,1,74
297.49951171875,20.4647445678711,-156.801818847656,1,75
297.48388671875,20.4647445678711,-156.794631958008,1,76
297.468322753906,20.4647445678711,-156.78742980957,1,77
297.454284667969,20.4647445678711,-156.780227661133,1,78
297.442810058594,20.4647445678711,-156.773040771484,1,79
297.433166503906,20.4647445678711,-156.765838623047,1,80
297.423736572266,20.4647445678711,-156.758651733398,1,81
297.410491943359,20.4647445678711,-156.751449584961,1,82
297.398803710938,20.4647445678711,-156.744262695312,1,83
297.384796142578,20.4647445678711,-156.737060546875,1,84
297.378356933594,20.4647445678711,-156.729858398438,1,85
297.377563476562,20.4647445678711,-156.722671508789,1,86
297.382354736328,20.4647445678711,-156.715469360352,1,87
297.396453857422,20.4647445678711,-156.708282470703,1,88
297.406372070312,20.4647445678711,-156.701080322266,1,89
297.405944824219,20.4647445678711,-156.693878173828,1,90
297.402069091797,20.4647445678711,-156.68669128418,1,91
297.389465332031,20.4647445678711,-156.679489135742,1,92
297.372955322266,20.4647445678711,-156.672302246094,1,93
297.355438232422,20.4647445678711,-156.665100097656,1,94
297.337188720703,20.4647445678711,-156.657913208008,1,95
297.327423095703,20.4647445678711,-156.65071105957,1,96
297.322784423828,20.4647445678711,-156.643508911133,1,97
297.325775146484,20.4647445678711,-156.636322021484,1,98
297.327423095703,20.4647445678711,-156.629119873047,1,99
297.327514648438,20.4647445678711,-156.621932983398,1,100
297.326263427734,20.4647445678711,-156.614730834961,1,101
297.323059082031,20.4647445678711,-156.607543945312,1,102
297.323425292969,20.4647445678711,-156.600341796875,1,103
297.323425292969,20.4647445678711,-156.593139648438,1,104
297.318878173828,20.4647445678711,-156.585952758789,1,105
297.311218261719,20.4647445678711,-156.578750610352,1,106
297.306335449219,20.4647445678711,-156.571563720703,1,107
297.30078125,20.4647445678711,-156.564361572266,1,108
297.297607421875,20.4647445678711,-156.557174682617,1,109
297.294586181641,20.4647445678711,-156.54997253418,1,110
297.294281005859,20.4647445678711,-156.542770385742,1,111
297.293701171875,20.4647445678711,-156.535583496094,1,112
297.287628173828,20.4647445678711,-156.528381347656,1,113
297.286193847656,20.4647445678711,-156.521194458008,1,114
297.280609130859,20.4647445678711,-156.51399230957,1,115
297.277130126953,20.4647445678711,-156.506790161133,1,116
297.273162841797,20.4647445678711,-156.499603271484,1,117
297.273254394531,20.4647445678711,-156.492401123047,1,118
297.273223876953,20.4647445678711,-156.485214233398,1,119
297.276184082031,20.4647445678711,-156.478012084961,1,120
297.279266357422,20.4647445678711,-156.470825195312,1,121
