"values","lat","lon","lat_index","lon_index"
298.116638183594,18.9065246582031,-156.082244873047,1,1
298.12548828125,18.9065246582031,-156.075057983398,1,2
298.134521484375,18.9065246582031,-156.067855834961,1,3
298.138122558594,18.9065246582031,-156.060668945312,1,4
298.143615722656,18.9065246582031,-156.053466796875,1,5
298.151062011719,18.9065246582031,-156.046279907227,1,6
298.151275634766,18.9065246582031,-156.039077758789,1,7
298.152557373047,18.9065246582031,-156.031875610352,1,8
298.153442382812,18.9065246582031,-156.024688720703,1,9
298.155120849609,18.9065246582031,-156.017486572266,1,10
298.157653808594,18.9065246582031,-156.010299682617,1,11
298.161041259766,18.9065246582031,-156.00309753418,1,12
298.161529541016,18.9065246582031,-155.995895385742,1,13
298.161285400391,18.9065246582031,-155.988708496094,1,14
298.160675048828,18.9065246582031,-155.981506347656,1,15
298.155731201172,18.9065246582031,-155.974319458008,1,16
298.153228759766,18.9065246582031,-155.96711730957,1,17
298.14892578125,18.9065246582031,-155.959930419922,1,18
298.149169921875,18.9065246582031,-155.952728271484,1,19
298.151123046875,18.9065246582031,-155.945526123047,1,20
298.151885986328,18.9065246582031,-155.938339233398,1,21
298.153778076172,18.9065246582031,-155.931137084961,1,22
298.155883789062,18.9065246582031,-155.923950195312,1,23
298.156463623047,18.9065246582031,-155.916748046875,1,24
298.151275634766,18.9065246582031,-155.909561157227,1,25
298.146423339844,18.9065246582031,-155.902359008789,1,26
298.135467529297,18.9065246582031,-155.895156860352,1,27
298.123809814453,18.9065246582031,-155.887969970703,1,28
298.112213134766,18.9065246582031,-155.880767822266,1,29
298.1025390625,18.9065246582031,-155.873580932617,1,30
298.093200683594,18.9065246582031,-155.86637878418,1,31
298.090637207031,18.9065246582031,-155.859176635742,1,32
298.082366943359,18.9065246582031,-155.851989746094,1,33
298.077606201172,18.9065246582031,-155.844787597656,1,34
298.073822021484,18.9065246582031,-155.837600708008,1,35
298.067230224609,18.9065246582031,-155.83039855957,1,36
298.05810546875,18.9065246582031,-155.823211669922,1,37
298.05322265625,18.9065246582031,-155.816009521484,1,38
298.044799804688,18.9065246582031,-155.808807373047,1,39
298.035858154297,18.9065246582031,-155.801620483398,1,40
298.030456542969,18.9065246582031,-155.794418334961,1,41
298.025726318359,18.9065246582031,-155.787231445312,1,42
298.018249511719,18.9065246582031,-155.780029296875,1,43
298.00927734375,18.9065246582031,-155.772842407227,1,44
297.998229980469,18.9065246582031,-155.765640258789,1,45
297.982452392578,18.9065246582031,-155.758438110352,1,46
297.963592529297,18.9065246582031,-155.751251220703,1,47
297.94873046875,18.9065246582031,-155.744049072266,1,48
297.927551269531,18.9065246582031,-155.736862182617,1,49
297.907440185547,18.9065246582031,-155.72966003418,1,50
297.887847900391,18.9065246582031,-155.722473144531,1,51
297.871276855469,18.9065246582031,-155.715270996094,1,52
297.851470947266,18.9065246582031,-155.708068847656,1,53
297.835266113281,18.9065246582031,-155.700881958008,1,54
297.807495117188,18.9065246582031,-155.69367980957,1,55
297.755035400391,18.9065246582031,-155.686492919922,1,56
297.672485351562,18.9065246582031,-155.679290771484,1,57
297.586181640625,18.9065246582031,-155.672088623047,1,58
297.566375732422,18.9065246582031,-155.664901733398,1,59
297.595611572266,18.9065246582031,-155.657699584961,1,60
297.5927734375,18.9065246582031,-155.650512695312,1,61
297.591125488281,18.9065246582031,-155.643310546875,1,62
297.586822509766,18.9065246582031,-155.636123657227,1,63
297.5849609375,18.9065246582031,-155.628921508789,1,64
297.585693359375,18.9065246582031,-155.621719360352,1,65
297.588989257812,18.9065246582031,-155.614532470703,1,66
297.594268798828,18.9065246582031,-155.607330322266,1,67
297.595581054688,18.9065246582031,-155.600143432617,1,68
297.591796875,18.9065246582031,-155.59294128418,1,69
297.591613769531,18.9065246582031,-155.585754394531,1,70
297.588287353516,18.9065246582031,-155.578552246094,1,71
297.589599609375,18.9065246582031,-155.571350097656,1,72
297.587585449219,18.9065246582031,-155.564163208008,1,73
297.589019775391,18.9065246582031,-155.55696105957,1,74
297.590911865234,18.9065246582031,-155.549774169922,1,75
297.590789794922,18.9065246582031,-155.542572021484,1,76
297.592987060547,18.9065246582031,-155.535385131836,1,77
297.592987060547,18.9065246582031,-155.528182983398,1,78
297.589752197266,18.9065246582031,-155.520980834961,1,79
297.591217041016,18.9065246582031,-155.513793945312,1,80
297.593353271484,18.9065246582031,-155.506591796875,1,81
297.600860595703,18.9065246582031,-155.499404907227,1,82
297.604766845703,18.9065246582031,-155.492202758789,1,83
297.597991943359,18.9065246582031,-155.485000610352,1,84
297.585693359375,18.9065246582031,-155.477813720703,1,85
297.570587158203,18.9065246582031,-155.470611572266,1,86
297.557373046875,18.9065246582031,-155.463424682617,1,87
297.546539306641,18.9065246582031,-155.45622253418,1,88
297.53955078125,18.9065246582031,-155.449035644531,1,89
297.538421630859,18.9065246582031,-155.441833496094,1,90
